,0,1
0,ENSG00000122406,ENSG00000122026
1,ENSG00000100804,ENSG00000087087
2,ENSG00000106105,ENSG00000113013
3,ENSG00000112118,ENSG00000120686
4,ENSG00000147403,ENSG00000099956
5,ENSG00000087365,ENSG00000126261
6,ENSG00000110700,ENSG00000102978
7,ENSG00000242372,ENSG00000175792
8,ENSG00000135521,ENSG00000134371
9,ENSG00000177600,ENSG00000110700
10,ENSG00000091140,ENSG00000067704
11,ENSG00000106105,ENSG00000163636
12,ENSG00000242372,ENSG00000087365
13,ENSG00000175792,ENSG00000122406
14,ENSG00000126261,ENSG00000122406
15,ENSG00000122406,ENSG00000067704
16,ENSG00000100575,ENSG00000113460
17,ENSG00000110700,ENSG00000122406
18,ENSG00000177954,ENSG00000113460
19,ENSG00000122406,ENSG00000135521
20,ENSG00000147403,ENSG00000198034
21,ENSG00000166136,ENSG00000102978
22,ENSG00000100804,ENSG00000175792
23,ENSG00000136718,ENSG00000112118
24,ENSG00000198034,ENSG00000102978
25,ENSG00000177954,ENSG00000204899
26,ENSG00000113013,ENSG00000115561
27,ENSG00000067704,ENSG00000115053
28,ENSG00000136718,ENSG00000126261
29,ENSG00000062582,ENSG00000126261
30,ENSG00000115053,ENSG00000102978
31,ENSG00000204899,ENSG00000204435
32,ENSG00000175792,ENSG00000134697
33,ENSG00000175792,ENSG00000100575
34,ENSG00000175792,ENSG00000136718
35,ENSG00000166136,ENSG00000067704
36,ENSG00000175792,ENSG00000048162
37,ENSG00000136718,ENSG00000062582
38,ENSG00000100804,ENSG00000198258
39,ENSG00000177600,ENSG00000122026
40,ENSG00000112118,ENSG00000122406
41,ENSG00000198034,ENSG00000067704
42,ENSG00000175792,ENSG00000168002
43,ENSG00000115053,ENSG00000122406
44,ENSG00000177600,ENSG00000126261
45,ENSG00000110700,ENSG00000204435
46,ENSG00000198034,ENSG00000135521
47,ENSG00000135521,ENSG00000048162
48,ENSG00000100804,ENSG00000113013
49,ENSG00000115053,ENSG00000067704
50,ENSG00000204899,ENSG00000035928
51,ENSG00000115484,ENSG00000126261
52,ENSG00000113460,ENSG00000184983
53,ENSG00000122406,ENSG00000177954
54,ENSG00000134371,ENSG00000099956
55,ENSG00000204899,ENSG00000099956
56,ENSG00000177600,ENSG00000134371
57,ENSG00000122026,ENSG00000116752
58,ENSG00000175792,ENSG00000035928
59,ENSG00000126261,ENSG00000035928
60,ENSG00000110700,ENSG00000177954
61,ENSG00000147403,ENSG00000174243
62,ENSG00000113460,ENSG00000135521
63,ENSG00000126261,ENSG00000115053
64,ENSG00000175792,ENSG00000115053
65,ENSG00000175792,ENSG00000099956
66,ENSG00000125835,ENSG00000134371
67,ENSG00000048162,ENSG00000062582
68,ENSG00000112118,ENSG00000136718
69,ENSG00000204435,ENSG00000115561
70,ENSG00000035928,ENSG00000175792
71,ENSG00000198034,ENSG00000168002
72,ENSG00000106105,ENSG00000062582
73,ENSG00000126261,ENSG00000125835
74,ENSG00000115053,ENSG00000204435
75,ENSG00000112118,ENSG00000168002
76,ENSG00000177600,ENSG00000115484
77,ENSG00000147403,ENSG00000116752
78,ENSG00000177954,ENSG00000122026
79,ENSG00000175792,ENSG00000198034
80,ENSG00000087087,ENSG00000115053
81,ENSG00000147403,ENSG00000077380
82,ENSG00000125835,ENSG00000115484
83,ENSG00000136718,ENSG00000100575
84,ENSG00000198034,ENSG00000177954
