,0,1
0,ENSG00000142534,ENSG00000167721
1,ENSG00000175216,ENSG00000112118
2,ENSG00000008018,ENSG00000112651
3,ENSG00000167721,ENSG00000107581
4,ENSG00000112118,ENSG00000117748
5,ENSG00000161981,ENSG00000136824
6,ENSG00000112739,ENSG00000107581
7,ENSG00000167658,ENSG00000008018
8,ENSG00000233927,ENSG00000089157
9,ENSG00000089009,ENSG00000109111
10,ENSG00000138035,ENSG00000100567
11,ENSG00000161981,ENSG00000099817
12,ENSG00000107581,ENSG00000167978
13,ENSG00000089009,ENSG00000089157
14,ENSG00000112118,ENSG00000137876
15,ENSG00000169021,ENSG00000147586
16,ENSG00000108298,ENSG00000089009
17,ENSG00000144713,ENSG00000175216
18,ENSG00000089009,ENSG00000131495
19,ENSG00000113810,ENSG00000161981
20,ENSG00000169021,ENSG00000105819
21,ENSG00000144713,ENSG00000108298
22,ENSG00000188846,ENSG00000142534
23,ENSG00000167658,ENSG00000188846
24,ENSG00000169021,ENSG00000167721
25,ENSG00000089009,ENSG00000144867
26,ENSG00000137876,ENSG00000161981
27,ENSG00000233927,ENSG00000089009
28,ENSG00000112118,ENSG00000167721
29,ENSG00000144713,ENSG00000113810
30,ENSG00000089157,ENSG00000100353
31,ENSG00000188846,ENSG00000233927
32,ENSG00000161981,ENSG00000112118
33,ENSG00000144713,ENSG00000167658
34,ENSG00000169021,ENSG00000161981
35,ENSG00000107581,ENSG00000112118
36,ENSG00000175216,ENSG00000111581
37,ENSG00000142534,ENSG00000107581
38,ENSG00000112118,ENSG00000161981
39,ENSG00000008018,ENSG00000169021
40,ENSG00000142534,ENSG00000233927
41,ENSG00000175216,ENSG00000138035
42,ENSG00000188846,ENSG00000144713
43,ENSG00000142534,ENSG00000089157
44,ENSG00000188846,ENSG00000167522
45,ENSG00000127184,ENSG00000140307
46,ENSG00000188846,ENSG00000065518
47,ENSG00000105202,ENSG00000275700
48,ENSG00000144713,ENSG00000188846
49,ENSG00000161981,ENSG00000136271
50,ENSG00000008018,ENSG00000175216
51,ENSG00000105202,ENSG00000142534
52,ENSG00000137876,ENSG00000112118
53,ENSG00000107581,ENSG00000100353
54,ENSG00000167978,ENSG00000107581
55,ENSG00000107581,ENSG00000233927
56,ENSG00000099817,ENSG00000127184
57,ENSG00000167978,ENSG00000164167
58,ENSG00000167721,ENSG00000161981
59,ENSG00000167658,ENSG00000112118
60,ENSG00000142534,ENSG00000089009
61,ENSG00000167658,ENSG00000120686
62,ENSG00000167978,ENSG00000127184
63,ENSG00000112118,ENSG00000164167
64,ENSG00000095139,ENSG00000107581
65,ENSG00000112118,ENSG00000107581
66,ENSG00000111639,ENSG00000140307
67,ENSG00000169021,ENSG00000127184
68,ENSG00000233927,ENSG00000108298
69,ENSG00000089009,ENSG00000108298
70,ENSG00000008018,ENSG00000167658
71,ENSG00000107581,ENSG00000144713
72,ENSG00000142534,ENSG00000147586
73,ENSG00000161981,ENSG00000167522
74,ENSG00000107581,ENSG00000167522
75,ENSG00000169021,ENSG00000131495
76,ENSG00000167658,ENSG00000142534
77,ENSG00000167522,ENSG00000161981
78,ENSG00000233927,ENSG00000167658
79,ENSG00000161981,ENSG00000137876
80,ENSG00000169021,ENSG00000149100
81,ENSG00000008018,ENSG00000065518
82,ENSG00000008018,ENSG00000137876
83,ENSG00000149100,ENSG00000167721
84,ENSG00000008018,ENSG00000100567
85,ENSG00000100567,ENSG00000147586
86,ENSG00000100353,ENSG00000008018
87,ENSG00000137876,ENSG00000167522
88,ENSG00000233927,ENSG00000188846
89,ENSG00000167658,ENSG00000144713
90,ENSG00000140307,ENSG00000111639
91,ENSG00000167658,ENSG00000167522
92,ENSG00000107581,ENSG00000167721
93,ENSG00000175216,ENSG00000142534
94,ENSG00000136824,ENSG00000113810
95,ENSG00000167658,ENSG00000065518
96,ENSG00000175216,ENSG00000107581
97,ENSG00000113810,ENSG00000175216
98,ENSG00000099817,ENSG00000161981
99,ENSG00000089157,ENSG00000142534
100,ENSG00000167658,ENSG00000137876
101,ENSG00000105202,ENSG00000161981
102,ENSG00000111581,ENSG00000142534
103,ENSG00000188846,ENSG00000127184
104,ENSG00000188846,ENSG00000089157
105,ENSG00000089157,ENSG00000127184
106,ENSG00000112651,ENSG00000105202
107,ENSG00000167658,ENSG00000167721
108,ENSG00000108298,ENSG00000089157
109,ENSG00000108298,ENSG00000175216
110,ENSG00000111639,ENSG00000167658
111,ENSG00000131495,ENSG00000127184
112,ENSG00000161981,ENSG00000164167
113,ENSG00000149100,ENSG00000127184
114,ENSG00000188846,ENSG00000089009
115,ENSG00000167721,ENSG00000169021
116,ENSG00000089157,ENSG00000089009
117,ENSG00000127184,ENSG00000167978
118,ENSG00000089009,ENSG00000120686
119,ENSG00000008018,ENSG00000142534
120,ENSG00000107581,ENSG00000100028
121,ENSG00000138035,ENSG00000107581
122,ENSG00000008018,ENSG00000100353
123,ENSG00000167978,ENSG00000109111
124,ENSG00000167721,ENSG00000175216
125,ENSG00000175216,ENSG00000167721
126,ENSG00000091140,ENSG00000167721
127,ENSG00000105202,ENSG00000100028
128,ENSG00000089009,ENSG00000105202
129,ENSG00000113810,ENSG00000136824
130,ENSG00000113810,ENSG00000167978
131,ENSG00000108298,ENSG00000144713
132,ENSG00000089009,ENSG00000113810
133,ENSG00000167658,ENSG00000107581
134,ENSG00000140307,ENSG00000164167
135,ENSG00000140307,ENSG00000107581
136,ENSG00000188846,ENSG00000161981
137,ENSG00000100353,ENSG00000136271
138,ENSG00000089009,ENSG00000167658
139,ENSG00000167721,ENSG00000167658
140,ENSG00000164167,ENSG00000140307
141,ENSG00000108298,ENSG00000188846
142,ENSG00000089157,ENSG00000161981
143,ENSG00000167658,ENSG00000233927
144,ENSG00000140307,ENSG00000127184
145,ENSG00000065518,ENSG00000127184
146,ENSG00000169021,ENSG00000099817
147,ENSG00000233927,ENSG00000144713
148,ENSG00000167658,ENSG00000089157
149,ENSG00000089009,ENSG00000144713
150,ENSG00000167658,ENSG00000127184
151,ENSG00000137876,ENSG00000131495
152,ENSG00000140307,ENSG00000131495
153,ENSG00000065518,ENSG00000131495
154,ENSG00000167721,ENSG00000138035
155,ENSG00000142534,ENSG00000175216
156,ENSG00000089009,ENSG00000188846
157,ENSG00000142534,ENSG00000105202
158,ENSG00000099817,ENSG00000169021
159,ENSG00000137876,ENSG00000089009
160,ENSG00000100567,ENSG00000169021
161,ENSG00000142534,ENSG00000108298
162,ENSG00000144713,ENSG00000142534
163,ENSG00000091140,ENSG00000107581
164,ENSG00000167658,ENSG00000089009
165,ENSG00000109111,ENSG00000175216
166,ENSG00000138035,ENSG00000167721
167,ENSG00000142534,ENSG00000095139
168,ENSG00000144713,ENSG00000233927
169,ENSG00000144713,ENSG00000127184
170,ENSG00000144713,ENSG00000089157
171,ENSG00000089009,ENSG00000167978
172,ENSG00000142534,ENSG00000167658
173,ENSG00000127184,ENSG00000111639
174,ENSG00000127184,ENSG00000167522
175,ENSG00000167978,ENSG00000175216
176,ENSG00000127184,ENSG00000065518
177,ENSG00000188846,ENSG00000149100
178,ENSG00000113810,ENSG00000111581
179,ENSG00000167978,ENSG00000275700
180,ENSG00000112118,ENSG00000105202
181,ENSG00000142534,ENSG00000188846
182,ENSG00000167522,ENSG00000167978
183,ENSG00000144713,ENSG00000089009
184,ENSG00000167978,ENSG00000113810
185,ENSG00000117748,ENSG00000112118
186,ENSG00000140307,ENSG00000161981
187,ENSG00000167978,ENSG00000095139
188,ENSG00000149100,ENSG00000112651
189,ENSG00000167721,ENSG00000112118
190,ENSG00000275700,ENSG00000107581
191,ENSG00000108298,ENSG00000142534
192,ENSG00000167658,ENSG00000161981
193,ENSG00000169021,ENSG00000167658
