,0,1
0,ENSG00000177600,ENSG00000174444
1,ENSG00000233927,ENSG00000112306
2,ENSG00000063177,ENSG00000197756
3,ENSG00000163682,ENSG00000137154
4,ENSG00000182774,ENSG00000125691
5,ENSG00000147274,ENSG00000126698
6,ENSG00000104897,ENSG00000101343
7,ENSG00000104897,ENSG00000130332
8,ENSG00000092199,ENSG00000175467
9,ENSG00000109606,ENSG00000154473
10,ENSG00000109475,ENSG00000145425
11,ENSG00000080986,ENSG00000143228
12,ENSG00000105705,ENSG00000125835
13,ENSG00000180992,ENSG00000132676
14,ENSG00000167658,ENSG00000198755
15,ENSG00000115053,ENSG00000044574
16,ENSG00000143314,ENSG00000062582
17,ENSG00000204560,ENSG00000165494
18,ENSG00000132383,ENSG00000035928
19,ENSG00000092199,ENSG00000163714
20,ENSG00000110700,ENSG00000172809
21,ENSG00000166441,ENSG00000112306
22,ENSG00000065518,ENSG00000131495
23,ENSG00000129351,ENSG00000161016
24,ENSG00000159352,ENSG00000197170
25,ENSG00000135624,ENSG00000163468
26,ENSG00000196504,ENSG00000169045
27,ENSG00000122406,ENSG00000145592
28,ENSG00000089009,ENSG00000142534
29,ENSG00000136930,ENSG00000100804
30,ENSG00000147604,ENSG00000172809
31,ENSG00000177954,ENSG00000145425
32,ENSG00000099783,ENSG00000105202
33,ENSG00000142676,ENSG00000145425
34,ENSG00000126261,ENSG00000142230
35,ENSG00000156603,ENSG00000164758
36,ENSG00000144231,ENSG00000105258
37,ENSG00000129351,ENSG00000105202
38,ENSG00000167658,ENSG00000113460
39,ENSG00000171453,ENSG00000186141
40,ENSG00000099783,ENSG00000109606
41,ENSG00000143977,ENSG00000099995
42,ENSG00000188846,ENSG00000105202
43,ENSG00000197756,ENSG00000105372
44,ENSG00000129351,ENSG00000109606
45,ENSG00000198755,ENSG00000114391
46,ENSG00000134419,ENSG00000108298
47,ENSG00000132676,ENSG00000154719
48,ENSG00000154473,ENSG00000117360
49,ENSG00000168883,ENSG00000136450
50,ENSG00000119718,ENSG00000111361
51,ENSG00000109971,ENSG00000147274
52,ENSG00000061936,ENSG00000116752
53,ENSG00000164902,ENSG00000082898
54,ENSG00000110700,ENSG00000105202
55,ENSG00000122026,ENSG00000156482
56,ENSG00000167658,ENSG00000122406
57,ENSG00000197756,ENSG00000170889
58,ENSG00000130255,ENSG00000137876
59,ENSG00000266472,ENSG00000154719
60,ENSG00000231500,ENSG00000112306
61,ENSG00000144713,ENSG00000167526
62,ENSG00000168883,ENSG00000182004
63,ENSG00000122026,ENSG00000145592
64,ENSG00000089009,ENSG00000109475
65,ENSG00000087087,ENSG00000126698
66,ENSG00000101161,ENSG00000143368
67,ENSG00000142534,ENSG00000164587
68,ENSG00000166441,ENSG00000137154
69,ENSG00000145425,ENSG00000177600
70,ENSG00000071082,ENSG00000177954
71,ENSG00000104408,ENSG00000149100
72,ENSG00000063177,ENSG00000177600
73,ENSG00000177600,ENSG00000149273
74,ENSG00000136875,ENSG00000116754
75,ENSG00000035928,ENSG00000170312
76,ENSG00000064703,ENSG00000099783
77,ENSG00000204392,ENSG00000174243
78,ENSG00000100567,ENSG00000136930
79,ENSG00000167978,ENSG00000143368
80,ENSG00000136930,ENSG00000142507
81,ENSG00000126698,ENSG00000099783
82,ENSG00000198755,ENSG00000105202
83,ENSG00000168028,ENSG00000164587
84,ENSG00000197756,ENSG00000008988
85,ENSG00000100410,ENSG00000204392
86,ENSG00000134419,ENSG00000167526
87,ENSG00000145833,ENSG00000143368
88,ENSG00000115274,ENSG00000128908
89,ENSG00000108654,ENSG00000116560
90,ENSG00000180992,ENSG00000243147
91,ENSG00000136897,ENSG00000171421
92,ENSG00000101868,ENSG00000146143
93,ENSG00000188846,ENSG00000168028
94,ENSG00000101161,ENSG00000087087
95,ENSG00000106290,ENSG00000165417
96,ENSG00000175467,ENSG00000104897
97,ENSG00000101161,ENSG00000167088
98,ENSG00000231500,ENSG00000137154
99,ENSG00000161016,ENSG00000177954
100,ENSG00000104897,ENSG00000140259
101,ENSG00000164609,ENSG00000112739
102,ENSG00000047315,ENSG00000104884
103,ENSG00000168883,ENSG00000175792
104,ENSG00000231500,ENSG00000138326
105,ENSG00000115053,ENSG00000147403
106,ENSG00000167978,ENSG00000087087
107,ENSG00000112306,ENSG00000171863
108,ENSG00000099783,ENSG00000130255
109,ENSG00000149273,ENSG00000114391
110,ENSG00000167978,ENSG00000167088
111,ENSG00000129351,ENSG00000130255
112,ENSG00000115211,ENSG00000145191
113,ENSG00000164902,ENSG00000114503
114,ENSG00000100603,ENSG00000101343
115,ENSG00000137154,ENSG00000089009
116,ENSG00000188846,ENSG00000130255
117,ENSG00000170889,ENSG00000108298
118,ENSG00000169045,ENSG00000087365
119,ENSG00000129351,ENSG00000164587
120,ENSG00000145833,ENSG00000087087
121,ENSG00000182004,ENSG00000112739
122,ENSG00000143977,ENSG00000146007
123,ENSG00000188846,ENSG00000164587
124,ENSG00000145833,ENSG00000167088
125,ENSG00000171148,ENSG00000163872
126,ENSG00000213780,ENSG00000104884
127,ENSG00000142534,ENSG00000170889
128,ENSG00000181222,ENSG00000110768
129,ENSG00000132382,ENSG00000099783
130,ENSG00000130255,ENSG00000100697
131,ENSG00000064703,ENSG00000099995
132,ENSG00000132383,ENSG00000101868
133,ENSG00000110700,ENSG00000130255
134,ENSG00000161970,ENSG00000163682
135,ENSG00000168028,ENSG00000105372
136,ENSG00000198034,ENSG00000108298
137,ENSG00000168090,ENSG00000169727
138,ENSG00000099783,ENSG00000147604
139,ENSG00000130255,ENSG00000188846
140,ENSG00000105202,ENSG00000144713
141,ENSG00000126698,ENSG00000099995
142,ENSG00000174444,ENSG00000171863
143,ENSG00000117360,ENSG00000143368
144,ENSG00000125901,ENSG00000112110
145,ENSG00000163714,ENSG00000136450
146,ENSG00000189091,ENSG00000198258
147,ENSG00000143977,ENSG00000125835
148,ENSG00000161016,ENSG00000198034
149,ENSG00000136527,ENSG00000114503
150,ENSG00000109606,ENSG00000196504
151,ENSG00000198755,ENSG00000168028
152,ENSG00000164609,ENSG00000147274
153,ENSG00000143314,ENSG00000181610
154,ENSG00000149273,ENSG00000161016
155,ENSG00000122406,ENSG00000147403
156,ENSG00000168028,ENSG00000170889
157,ENSG00000125686,ENSG00000133398
158,ENSG00000130255,ENSG00000213741
159,ENSG00000099783,ENSG00000197958
160,ENSG00000114503,ENSG00000175467
161,ENSG00000163714,ENSG00000182004
162,ENSG00000163682,ENSG00000198034
163,ENSG00000189091,ENSG00000092199
164,ENSG00000071082,ENSG00000145592
165,ENSG00000100697,ENSG00000156482
166,ENSG00000116752,ENSG00000183684
167,ENSG00000182774,ENSG00000171863
168,ENSG00000233927,ENSG00000177954
169,ENSG00000108654,ENSG00000064703
170,ENSG00000042429,ENSG00000184634
171,ENSG00000008988,ENSG00000171863
172,ENSG00000142534,ENSG00000008988
173,ENSG00000143368,ENSG00000133226
174,ENSG00000198755,ENSG00000130255
175,ENSG00000110700,ENSG00000197958
176,ENSG00000125835,ENSG00000198258
177,ENSG00000092199,ENSG00000108654
178,ENSG00000114686,ENSG00000147586
179,ENSG00000102786,ENSG00000104299
180,ENSG00000109606,ENSG00000082516
181,ENSG00000161970,ENSG00000071082
182,ENSG00000101343,ENSG00000175467
183,ENSG00000170889,ENSG00000167526
184,ENSG00000117360,ENSG00000087087
185,ENSG00000109475,ENSG00000114391
186,ENSG00000137154,ENSG00000089157
187,ENSG00000099995,ENSG00000099783
188,ENSG00000147604,ENSG00000197958
189,ENSG00000117360,ENSG00000167088
190,ENSG00000174243,ENSG00000164609
191,ENSG00000112306,ENSG00000166197
192,ENSG00000132382,ENSG00000174748
193,ENSG00000065518,ENSG00000004779
194,ENSG00000137154,ENSG00000166441
195,ENSG00000169045,ENSG00000109606
196,ENSG00000122026,ENSG00000147403
197,ENSG00000168028,ENSG00000008988
198,ENSG00000198034,ENSG00000167526
199,ENSG00000147586,ENSG00000105364
200,ENSG00000140259,ENSG00000164167
201,ENSG00000161016,ENSG00000156482
202,ENSG00000162910,ENSG00000204316
203,ENSG00000106355,ENSG00000125835
204,ENSG00000129351,ENSG00000189091
205,ENSG00000166197,ENSG00000163682
206,ENSG00000265681,ENSG00000122026
207,ENSG00000189091,ENSG00000100603
208,ENSG00000112306,ENSG00000122406
209,ENSG00000145425,ENSG00000149273
210,ENSG00000177954,ENSG00000114391
211,ENSG00000142676,ENSG00000114391
212,ENSG00000063177,ENSG00000149273
213,ENSG00000189091,ENSG00000122692
214,ENSG00000116560,ENSG00000143368
215,ENSG00000161016,ENSG00000145592
216,ENSG00000112306,ENSG00000233927
217,ENSG00000233927,ENSG00000198034
218,ENSG00000163682,ENSG00000156482
219,ENSG00000138326,ENSG00000188846
220,ENSG00000105202,ENSG00000142676
221,ENSG00000183684,ENSG00000099783
222,ENSG00000105364,ENSG00000204316
223,ENSG00000076924,ENSG00000175467
224,ENSG00000084463,ENSG00000136450
225,ENSG00000167526,ENSG00000132382
