,0,1
0,ENSG00000167085,ENSG00000115053
1,ENSG00000113013,ENSG00000115053
2,ENSG00000108298,ENSG00000168028
3,ENSG00000265681,ENSG00000168028
4,ENSG00000265681,ENSG00000167658
5,ENSG00000089009,ENSG00000168028
6,ENSG00000167085,ENSG00000108561
7,ENSG00000167088,ENSG00000099800
8,ENSG00000167085,ENSG00000114867
9,ENSG00000125691,ENSG00000168028
10,ENSG00000125691,ENSG00000167658
11,ENSG00000182004,ENSG00000099800
12,ENSG00000113013,ENSG00000167085
13,ENSG00000125835,ENSG00000099800
14,ENSG00000147403,ENSG00000167658
15,ENSG00000149273,ENSG00000125691
16,ENSG00000108298,ENSG00000149273
17,ENSG00000063177,ENSG00000167658
18,ENSG00000063177,ENSG00000168028
19,ENSG00000108298,ENSG00000170889
20,ENSG00000130255,ENSG00000167658
21,ENSG00000130255,ENSG00000168028
22,ENSG00000149273,ENSG00000108298
23,ENSG00000175792,ENSG00000099800
24,ENSG00000167085,ENSG00000109971
25,ENSG00000265681,ENSG00000149273
26,ENSG00000149273,ENSG00000170889
27,ENSG00000044574,ENSG00000167085
28,ENSG00000044574,ENSG00000108561
29,ENSG00000089009,ENSG00000149273
30,ENSG00000113013,ENSG00000109971
31,ENSG00000149136,ENSG00000167088
32,ENSG00000170889,ENSG00000149273
33,ENSG00000265681,ENSG00000170889
34,ENSG00000109475,ENSG00000167658
35,ENSG00000109475,ENSG00000168028
36,ENSG00000071082,ENSG00000168028
37,ENSG00000071082,ENSG00000167658
38,ENSG00000149273,ENSG00000233927
39,ENSG00000149273,ENSG00000265681
40,ENSG00000149273,ENSG00000213741
41,ENSG00000125691,ENSG00000149273
42,ENSG00000089009,ENSG00000170889
43,ENSG00000167085,ENSG00000143977
44,ENSG00000167085,ENSG00000116560
45,ENSG00000063177,ENSG00000149273
46,ENSG00000125691,ENSG00000170889
47,ENSG00000166441,ENSG00000168028
48,ENSG00000166441,ENSG00000167658
49,ENSG00000135624,ENSG00000197958
50,ENSG00000100567,ENSG00000167088
51,ENSG00000170889,ENSG00000213741
52,ENSG00000170889,ENSG00000265681
53,ENSG00000170889,ENSG00000233927
54,ENSG00000213741,ENSG00000149273
55,ENSG00000147403,ENSG00000170889
56,ENSG00000167085,ENSG00000163468
57,ENSG00000149273,ENSG00000122406
58,ENSG00000149273,ENSG00000105372
59,ENSG00000175792,ENSG00000109971
60,ENSG00000149273,ENSG00000254772
61,ENSG00000149273,ENSG00000166441
62,ENSG00000149273,ENSG00000110700
63,ENSG00000167085,ENSG00000125835
64,ENSG00000092199,ENSG00000163468
65,ENSG00000213741,ENSG00000170889
66,ENSG00000167085,ENSG00000090273
67,ENSG00000167088,ENSG00000175792
68,ENSG00000113013,ENSG00000163468
69,ENSG00000044574,ENSG00000167088
70,ENSG00000167526,ENSG00000149273
71,ENSG00000171863,ENSG00000149273
72,ENSG00000110700,ENSG00000149273
73,ENSG00000198755,ENSG00000149273
74,ENSG00000105372,ENSG00000149273
75,ENSG00000044574,ENSG00000109971
76,ENSG00000265681,ENSG00000254772
77,ENSG00000265681,ENSG00000166441
78,ENSG00000171863,ENSG00000108298
79,ENSG00000105372,ENSG00000108298
80,ENSG00000092199,ENSG00000125835
81,ENSG00000198034,ENSG00000168028
82,ENSG00000063177,ENSG00000170889
83,ENSG00000136450,ENSG00000168028
84,ENSG00000174444,ENSG00000167658
85,ENSG00000174444,ENSG00000168028
86,ENSG00000167085,ENSG00000172115
87,ENSG00000167085,ENSG00000166197
88,ENSG00000167085,ENSG00000169230
89,ENSG00000063177,ENSG00000166441
90,ENSG00000161016,ENSG00000168028
91,ENSG00000213741,ENSG00000233927
92,ENSG00000213741,ENSG00000265681
93,ENSG00000170889,ENSG00000105372
94,ENSG00000170889,ENSG00000254772
95,ENSG00000170889,ENSG00000110700
96,ENSG00000171863,ENSG00000170889
97,ENSG00000147604,ENSG00000170889
98,ENSG00000167526,ENSG00000170889
99,ENSG00000110700,ENSG00000170889
100,ENSG00000130255,ENSG00000170889
101,ENSG00000105372,ENSG00000170889
102,ENSG00000122406,ENSG00000170889
103,ENSG00000113013,ENSG00000172115
104,ENSG00000198034,ENSG00000125691
105,ENSG00000109475,ENSG00000149273
106,ENSG00000134001,ENSG00000115053
107,ENSG00000164163,ENSG00000149273
108,ENSG00000137154,ENSG00000167658
109,ENSG00000149273,ENSG00000109475
110,ENSG00000171863,ENSG00000265681
111,ENSG00000171863,ENSG00000213741
112,ENSG00000105372,ENSG00000213741
113,ENSG00000105372,ENSG00000233927
114,ENSG00000105372,ENSG00000265681
115,ENSG00000110700,ENSG00000233927
116,ENSG00000110700,ENSG00000213741
117,ENSG00000171863,ENSG00000233927
118,ENSG00000149273,ENSG00000167526
119,ENSG00000071082,ENSG00000149273
120,ENSG00000138326,ENSG00000108298
121,ENSG00000198034,ENSG00000108298
122,ENSG00000109475,ENSG00000170889
123,ENSG00000213741,ENSG00000254772
124,ENSG00000213741,ENSG00000110700
125,ENSG00000138326,ENSG00000149273
126,ENSG00000137154,ENSG00000125691
127,ENSG00000044574,ENSG00000163468
128,ENSG00000149273,ENSG00000174748
129,ENSG00000213741,ENSG00000105372
130,ENSG00000198034,ENSG00000149273
131,ENSG00000164587,ENSG00000149273
132,ENSG00000044574,ENSG00000125835
133,ENSG00000149136,ENSG00000122406
134,ENSG00000149136,ENSG00000171863
135,ENSG00000170889,ENSG00000109475
136,ENSG00000167085,ENSG00000112118
137,ENSG00000167088,ENSG00000130332
138,ENSG00000166441,ENSG00000149273
139,ENSG00000170889,ENSG00000147403
140,ENSG00000071082,ENSG00000170889
141,ENSG00000103035,ENSG00000125691
142,ENSG00000164163,ENSG00000265681
143,ENSG00000265681,ENSG00000174748
144,ENSG00000105372,ENSG00000122406
145,ENSG00000171863,ENSG00000122406
146,ENSG00000171863,ENSG00000105372
147,ENSG00000110700,ENSG00000105372
148,ENSG00000170889,ENSG00000167526
149,ENSG00000134419,ENSG00000149273
150,ENSG00000105372,ENSG00000254772
151,ENSG00000171863,ENSG00000110700
152,ENSG00000171863,ENSG00000166441
153,ENSG00000110700,ENSG00000254772
154,ENSG00000105372,ENSG00000110700
155,ENSG00000171863,ENSG00000254772
156,ENSG00000147604,ENSG00000166441
157,ENSG00000138326,ENSG00000170889
158,ENSG00000149273,ENSG00000145592
159,ENSG00000149273,ENSG00000138326
160,ENSG00000142676,ENSG00000170889
161,ENSG00000231500,ENSG00000125691
162,ENSG00000100567,ENSG00000130255
163,ENSG00000063177,ENSG00000138326
164,ENSG00000174444,ENSG00000149273
165,ENSG00000170889,ENSG00000174748
166,ENSG00000172809,ENSG00000170889
167,ENSG00000166441,ENSG00000170889
168,ENSG00000137154,ENSG00000149273
169,ENSG00000265681,ENSG00000138326
170,ENSG00000135624,ENSG00000198755
171,ENSG00000138326,ENSG00000265681
