,0,1
0,ENSG00000109534,ENSG00000164109
1,ENSG00000198554,ENSG00000141367
2,ENSG00000058600,ENSG00000136271
3,ENSG00000103423,ENSG00000186141
4,ENSG00000065183,ENSG00000076924
5,ENSG00000164587,ENSG00000113734
6,ENSG00000075624,ENSG00000138778
7,ENSG00000117748,ENSG00000254726
8,ENSG00000110321,ENSG00000138035
9,ENSG00000171314,ENSG00000180198
10,ENSG00000129128,ENSG00000115946
11,ENSG00000099956,ENSG00000006712
12,ENSG00000100567,ENSG00000109971
13,ENSG00000134419,ENSG00000137154
14,ENSG00000112742,ENSG00000013503
15,ENSG00000111615,ENSG00000075089
16,ENSG00000114503,ENSG00000175110
17,ENSG00000136891,ENSG00000136875
18,ENSG00000115946,ENSG00000120158
19,ENSG00000132424,ENSG00000108654
20,ENSG00000134001,ENSG00000182774
21,ENSG00000176108,ENSG00000153767
22,ENSG00000092199,ENSG00000108654
23,ENSG00000144867,ENSG00000096080
24,ENSG00000261236,ENSG00000130816
25,ENSG00000140259,ENSG00000168924
26,ENSG00000173418,ENSG00000122026
27,ENSG00000145734,ENSG00000122484
28,ENSG00000164405,ENSG00000184634
29,ENSG00000172053,ENSG00000143751
30,ENSG00000089009,ENSG00000165819
31,ENSG00000129559,ENSG00000112739
32,ENSG00000061936,ENSG00000113712
33,ENSG00000110768,ENSG00000152404
34,ENSG00000111142,ENSG00000112029
35,ENSG00000181222,ENSG00000167508
36,ENSG00000165006,ENSG00000165271
37,ENSG00000151247,ENSG00000132313
38,ENSG00000103257,ENSG00000115540
39,ENSG00000124784,ENSG00000168566
40,ENSG00000111300,ENSG00000013503
41,ENSG00000145833,ENSG00000115561
42,ENSG00000167522,ENSG00000033327
43,ENSG00000172336,ENSG00000183684
44,ENSG00000249115,ENSG00000172167
45,ENSG00000165688,ENSG00000136807
46,ENSG00000198755,ENSG00000143977
47,ENSG00000130255,ENSG00000144713
48,ENSG00000177954,ENSG00000058600
49,ENSG00000147403,ENSG00000145592
50,ENSG00000161920,ENSG00000104299
51,ENSG00000122406,ENSG00000163636
52,ENSG00000135334,ENSG00000112592
53,ENSG00000163634,ENSG00000113013
54,ENSG00000128908,ENSG00000182117
55,ENSG00000159140,ENSG00000167522
56,ENSG00000174444,ENSG00000149136
57,ENSG00000117133,ENSG00000130713
58,ENSG00000109111,ENSG00000087365
59,ENSG00000085840,ENSG00000130816
60,ENSG00000103549,ENSG00000176108
61,ENSG00000095139,ENSG00000149136
62,ENSG00000130816,ENSG00000111615
63,ENSG00000177084,ENSG00000145833
64,ENSG00000077380,ENSG00000105705
65,ENSG00000137154,ENSG00000135624
66,ENSG00000105372,ENSG00000170889
67,ENSG00000164109,ENSG00000137054
68,ENSG00000005194,ENSG00000148297
69,ENSG00000061794,ENSG00000105849
70,ENSG00000034510,ENSG00000125901
71,ENSG00000204392,ENSG00000160783
72,ENSG00000168495,ENSG00000198042
73,ENSG00000167085,ENSG00000172171
74,ENSG00000164167,ENSG00000074071
75,ENSG00000112651,ENSG00000135624
76,ENSG00000149100,ENSG00000197771
77,ENSG00000132313,ENSG00000186141
78,ENSG00000014123,ENSG00000134440
79,ENSG00000241553,ENSG00000105568
80,ENSG00000114686,ENSG00000112339
81,ENSG00000167088,ENSG00000113460
82,ENSG00000155846,ENSG00000120158
83,ENSG00000183617,ENSG00000160783
84,ENSG00000205981,ENSG00000125952
85,ENSG00000092108,ENSG00000145734
86,ENSG00000144713,ENSG00000198755
87,ENSG00000242372,ENSG00000125835
88,ENSG00000109971,ENSG00000132313
89,ENSG00000104897,ENSG00000013503
90,ENSG00000099783,ENSG00000125676
91,ENSG00000135521,ENSG00000111880
92,ENSG00000215021,ENSG00000082516
93,ENSG00000152684,ENSG00000115364
94,ENSG00000134884,ENSG00000073111
95,ENSG00000164758,ENSG00000075089
96,ENSG00000103035,ENSG00000100664
97,ENSG00000051596,ENSG00000048162
98,ENSG00000136875,ENSG00000188986
99,ENSG00000108592,ENSG00000101343
100,ENSG00000152253,ENSG00000157778
101,ENSG00000173113,ENSG00000138495
102,ENSG00000147679,ENSG00000122026
103,ENSG00000163528,ENSG00000125952
104,ENSG00000138750,ENSG00000138663
105,ENSG00000090061,ENSG00000204152
106,ENSG00000113407,ENSG00000174780
107,ENSG00000101166,ENSG00000132664
108,ENSG00000138778,ENSG00000110700
109,ENSG00000157778,ENSG00000198056
110,ENSG00000243147,ENSG00000164405
111,ENSG00000131931,ENSG00000165494
112,ENSG00000064313,ENSG00000165006
113,ENSG00000119203,ENSG00000164941
114,ENSG00000138442,ENSG00000119041
115,ENSG00000100664,ENSG00000089737
116,ENSG00000164134,ENSG00000153207
117,ENSG00000008988,ENSG00000112306
118,ENSG00000111639,ENSG00000173113
119,ENSG00000108561,ENSG00000174780
120,ENSG00000100764,ENSG00000090061
121,ENSG00000111581,ENSG00000196367
122,ENSG00000067704,ENSG00000147403
123,ENSG00000136271,ENSG00000101158
124,ENSG00000168028,ENSG00000101158
125,ENSG00000172273,ENSG00000119718
126,ENSG00000175550,ENSG00000149554
127,ENSG00000169136,ENSG00000167522
128,ENSG00000150316,ENSG00000105058
129,ENSG00000120699,ENSG00000164151
130,ENSG00000126461,ENSG00000052749
131,ENSG00000133997,ENSG00000100764
132,ENSG00000110700,ENSG00000132313
133,ENSG00000062582,ENSG00000160783
134,ENSG00000048162,ENSG00000164405
135,ENSG00000109475,ENSG00000174444
136,ENSG00000116754,ENSG00000144713
137,ENSG00000168090,ENSG00000100664
138,ENSG00000122026,ENSG00000099956
139,ENSG00000171148,ENSG00000072849
140,ENSG00000074071,ENSG00000183617
141,ENSG00000198301,ENSG00000035928
142,ENSG00000065328,ENSG00000139697
143,ENSG00000126756,ENSG00000135775
144,ENSG00000163714,ENSG00000136930
145,ENSG00000092036,ENSG00000149636
146,ENSG00000124207,ENSG00000198056
147,ENSG00000136930,ENSG00000113734
148,ENSG00000113013,ENSG00000184209
149,ENSG00000110104,ENSG00000119285
150,ENSG00000113141,ENSG00000087263
151,ENSG00000159147,ENSG00000109971
152,ENSG00000117360,ENSG00000174243
153,ENSG00000172115,ENSG00000113460
154,ENSG00000172809,ENSG00000108518
155,ENSG00000139168,ENSG00000126653
156,ENSG00000120686,ENSG00000174243
157,ENSG00000149923,ENSG00000198612
158,ENSG00000100575,ENSG00000165417
159,ENSG00000142676,ENSG00000083845
160,ENSG00000108654,ENSG00000172115
161,ENSG00000161981,ENSG00000164587
162,ENSG00000126226,ENSG00000104884
163,ENSG00000134440,ENSG00000144231
164,ENSG00000162385,ENSG00000041357
165,ENSG00000196365,ENSG00000183258
166,ENSG00000055483,ENSG00000115561
167,ENSG00000107581,ENSG00000082898
168,ENSG00000106105,ENSG00000147403
169,ENSG00000148296,ENSG00000165688
170,ENSG00000167721,ENSG00000068654
171,ENSG00000101868,ENSG00000044574
172,ENSG00000147416,ENSG00000125352
173,ENSG00000155463,ENSG00000161920
174,ENSG00000156482,ENSG00000177600
175,ENSG00000137497,ENSG00000137413
176,ENSG00000100220,ENSG00000176108
177,ENSG00000233927,ENSG00000113712
178,ENSG00000175216,ENSG00000101639
179,ENSG00000108298,ENSG00000140307
180,ENSG00000112306,ENSG00000112739
181,ENSG00000169021,ENSG00000115484
182,ENSG00000149636,ENSG00000101161
183,ENSG00000102978,ENSG00000134597
184,ENSG00000154719,ENSG00000105732
185,ENSG00000198258,ENSG00000087365
186,ENSG00000142230,ENSG00000144231
187,ENSG00000130332,ENSG00000149923
188,ENSG00000161016,ENSG00000167526
189,ENSG00000182774,ENSG00000130713
190,ENSG00000166136,ENSG00000176108
191,ENSG00000058262,ENSG00000120686
192,ENSG00000145241,ENSG00000101138
193,ENSG00000105258,ENSG00000137656
194,ENSG00000099800,ENSG00000089289
195,ENSG00000088325,ENSG00000164941
196,ENSG00000167658,ENSG00000164587
197,ENSG00000145592,ENSG00000111231
198,ENSG00000159352,ENSG00000135624
199,ENSG00000073111,ENSG00000182774
200,ENSG00000138326,ENSG00000109475
201,ENSG00000113712,ENSG00000145592
202,ENSG00000101654,ENSG00000119718
203,ENSG00000163468,ENSG00000168028
204,ENSG00000013275,ENSG00000100664
205,ENSG00000105364,ENSG00000163468
206,ENSG00000158526,ENSG00000164654
207,ENSG00000104408,ENSG00000064313
208,ENSG00000140990,ENSG00000140307
209,ENSG00000173933,ENSG00000164902
210,ENSG00000165480,ENSG00000151849
211,ENSG00000076924,ENSG00000062822
212,ENSG00000083896,ENSG00000164758
213,ENSG00000166226,ENSG00000155438
214,ENSG00000133226,ENSG00000073111
215,ENSG00000140307,ENSG00000167088
216,ENSG00000010244,ENSG00000136450
217,ENSG00000115364,ENSG00000119616
218,ENSG00000183258,ENSG00000170445
219,ENSG00000089737,ENSG00000100764
220,ENSG00000105849,ENSG00000110768
221,ENSG00000112110,ENSG00000116752
222,ENSG00000141367,ENSG00000111880
223,ENSG00000137876,ENSG00000119285
224,ENSG00000102030,ENSG00000110700
225,ENSG00000117410,ENSG00000157778
226,ENSG00000204394,ENSG00000083845
227,ENSG00000142507,ENSG00000100567
228,ENSG00000149136,ENSG00000254726
229,ENSG00000166197,ENSG00000089737
230,ENSG00000159086,ENSG00000164654
231,ENSG00000125835,ENSG00000101158
232,ENSG00000151461,ENSG00000143952
233,ENSG00000179115,ENSG00000167658
234,ENSG00000099995,ENSG00000085840
235,ENSG00000132676,ENSG00000181817
236,ENSG00000155868,ENSG00000170445
237,ENSG00000125686,ENSG00000116560
238,ENSG00000149273,ENSG00000126653
239,ENSG00000139697,ENSG00000254726
240,ENSG00000004779,ENSG00000115211
241,ENSG00000181610,ENSG00000132313
242,ENSG00000106028,ENSG00000196504
243,ENSG00000067334,ENSG00000188529
244,ENSG00000143228,ENSG00000165480
245,ENSG00000129932,ENSG00000102978
246,ENSG00000175110,ENSG00000162910
247,ENSG00000167978,ENSG00000167508
248,ENSG00000041802,ENSG00000113643
249,ENSG00000143751,ENSG00000116752
250,ENSG00000197102,ENSG00000100567
251,ENSG00000147586,ENSG00000186141
252,ENSG00000163682,ENSG00000164587
253,ENSG00000127337,ENSG00000108654
254,ENSG00000135624,ENSG00000163636
255,ENSG00000136527,ENSG00000164109
256,ENSG00000175792,ENSG00000067704
257,ENSG00000188186,ENSG00000146007
258,ENSG00000171490,ENSG00000117133
259,ENSG00000134987,ENSG00000102967
260,ENSG00000146007,ENSG00000100664
261,ENSG00000181817,ENSG00000132768
262,ENSG00000174780,ENSG00000100575
263,ENSG00000146143,ENSG00000150990
264,ENSG00000188846,ENSG00000174243
265,ENSG00000188529,ENSG00000033327
266,ENSG00000131652,ENSG00000099800
267,ENSG00000136897,ENSG00000088356
268,ENSG00000161970,ENSG00000041802
269,ENSG00000112339,ENSG00000197958
270,ENSG00000126698,ENSG00000111667
271,ENSG00000125971,ENSG00000278053
272,ENSG00000125691,ENSG00000112118
273,ENSG00000082516,ENSG00000065183
274,ENSG00000125630,ENSG00000155438
275,ENSG00000153207,ENSG00000111237
276,ENSG00000197756,ENSG00000134371
277,ENSG00000198612,ENSG00000068394
278,ENSG00000134371,ENSG00000143748
279,ENSG00000155438,ENSG00000141367
280,ENSG00000147677,ENSG00000106105
281,ENSG00000112972,ENSG00000254772
282,ENSG00000161800,ENSG00000204899
283,ENSG00000063177,ENSG00000167526
284,ENSG00000126261,ENSG00000065183
285,ENSG00000116560,ENSG00000139697
286,ENSG00000106399,ENSG00000183684
287,ENSG00000129351,ENSG00000099817
288,ENSG00000091140,ENSG00000197102
289,ENSG00000088356,ENSG00000144231
290,ENSG00000172530,ENSG00000149084
291,ENSG00000114391,ENSG00000164587
292,ENSG00000008324,ENSG00000063177
293,ENSG00000133398,ENSG00000175054
294,ENSG00000177600,ENSG00000254772
295,ENSG00000182004,ENSG00000143751
296,ENSG00000168883,ENSG00000138867
297,ENSG00000198730,ENSG00000151657
298,ENSG00000198176,ENSG00000165480
299,ENSG00000196235,ENSG00000113141
300,ENSG00000065518,ENSG00000169021
301,ENSG00000116809,ENSG00000136807
302,ENSG00000164163,ENSG00000151247
303,ENSG00000089289,ENSG00000101773
304,ENSG00000147604,ENSG00000198042
305,ENSG00000115484,ENSG00000265681
306,ENSG00000197958,ENSG00000132313
307,ENSG00000084463,ENSG00000177084
308,ENSG00000108518,ENSG00000164587
309,ENSG00000100142,ENSG00000197102
310,ENSG00000105058,ENSG00000143952
311,ENSG00000131153,ENSG00000150316
312,ENSG00000087087,ENSG00000134014
313,ENSG00000168566,ENSG00000005007
314,ENSG00000198700,ENSG00000254726
315,ENSG00000047315,ENSG00000184983
316,ENSG00000278053,ENSG00000151657
317,ENSG00000164151,ENSG00000119720
318,ENSG00000127184,ENSG00000108424
319,ENSG00000058729,ENSG00000113407
320,ENSG00000139726,ENSG00000111361
321,ENSG00000115053,ENSG00000051596
322,ENSG00000169375,ENSG00000140534
323,ENSG00000072501,ENSG00000125676
324,ENSG00000068654,ENSG00000164053
325,ENSG00000174243,ENSG00000010244
326,ENSG00000083845,ENSG00000180198
327,ENSG00000136824,ENSG00000188529
328,ENSG00000170889,ENSG00000149136
329,ENSG00000164609,ENSG00000112651
330,ENSG00000014138,ENSG00000149636
331,ENSG00000068784,ENSG00000092439
332,ENSG00000111445,ENSG00000111231
333,ENSG00000138495,ENSG00000141367
334,ENSG00000175054,ENSG00000168827
335,ENSG00000164338,ENSG00000005194
336,ENSG00000265681,ENSG00000101654
337,ENSG00000180992,ENSG00000167085
338,ENSG00000145388,ENSG00000152684
339,ENSG00000087470,ENSG00000132768
340,ENSG00000090273,ENSG00000131153
341,ENSG00000139620,ENSG00000119720
342,ENSG00000171863,ENSG00000129559
343,ENSG00000122692,ENSG00000119203
344,ENSG00000145191,ENSG00000163872
345,ENSG00000127554,ENSG00000033327
346,ENSG00000204574,ENSG00000137413
347,ENSG00000204435,ENSG00000181222
348,ENSG00000132463,ENSG00000149084
349,ENSG00000134697,ENSG00000048162
350,ENSG00000122484,ENSG00000064703
351,ENSG00000184983,ENSG00000155463
352,ENSG00000100697,ENSG00000101343
353,ENSG00000132603,ENSG00000058600
354,ENSG00000174953,ENSG00000163636
355,ENSG00000008018,ENSG00000233927
356,ENSG00000044574,ENSG00000166197
357,ENSG00000170312,ENSG00000083845
358,ENSG00000204899,ENSG00000133119
359,ENSG00000169727,ENSG00000101444
360,ENSG00000135763,ENSG00000160803
361,ENSG00000165819,ENSG00000101639
362,ENSG00000143368,ENSG00000108518
363,ENSG00000161057,ENSG00000100804
364,ENSG00000171421,ENSG00000008324
365,ENSG00000174748,ENSG00000122026
366,ENSG00000213741,ENSG00000164975
367,ENSG00000112118,ENSG00000065328
368,ENSG00000101444,ENSG00000164654
369,ENSG00000004897,ENSG00000161800
370,ENSG00000137692,ENSG00000155438
371,ENSG00000180198,ENSG00000170322
372,ENSG00000100401,ENSG00000165526
373,ENSG00000108424,ENSG00000141367
374,ENSG00000204316,ENSG00000132383
375,ENSG00000143977,ENSG00000071082
376,ENSG00000167967,ENSG00000165526
377,ENSG00000106355,ENSG00000167088
378,ENSG00000166260,ENSG00000182774
379,ENSG00000094880,ENSG00000106246
380,ENSG00000115540,ENSG00000116752
381,ENSG00000113643,ENSG00000154719
382,ENSG00000231500,ENSG00000113460
383,ENSG00000130713,ENSG00000104835
384,ENSG00000096080,ENSG00000132313
385,ENSG00000118412,ENSG00000132424
386,ENSG00000089048,ENSG00000133398
387,ENSG00000042429,ENSG00000152684
388,ENSG00000196504,ENSG00000077380
389,ENSG00000125676,ENSG00000177600
390,ENSG00000197170,ENSG00000004779
391,ENSG00000071553,ENSG00000134597
392,ENSG00000130177,ENSG00000075624
393,ENSG00000138035,ENSG00000174780
394,ENSG00000130935,ENSG00000167508
395,ENSG00000099821,ENSG00000119041
396,ENSG00000105705,ENSG00000165006
397,ENSG00000167881,ENSG00000165494
398,ENSG00000109606,ENSG00000183684
399,ENSG00000112739,ENSG00000205981
400,ENSG00000162910,ENSG00000100575
401,ENSG00000088205,ENSG00000204574
402,ENSG00000100353,ENSG00000107581
403,ENSG00000113734,ENSG00000180182
404,ENSG00000101882,ENSG00000172171
405,ENSG00000275700,ENSG00000147274
406,ENSG00000113810,ENSG00000148296
407,ENSG00000172171,ENSG00000204152
408,ENSG00000254772,ENSG00000149136
409,ENSG00000051180,ENSG00000164109
410,ENSG00000111361,ENSG00000111231
411,ENSG00000101901,ENSG00000115274
412,ENSG00000189091,ENSG00000118197
413,ENSG00000041357,ENSG00000104299
414,ENSG00000167526,ENSG00000127554
415,ENSG00000116752,ENSG00000147416
416,ENSG00000163636,ENSG00000154719
417,ENSG00000035928,ENSG00000198056
418,ENSG00000149554,ENSG00000133398
419,ENSG00000166441,ENSG00000164109
420,ENSG00000266472,ENSG00000186141
421,ENSG00000011304,ENSG00000073111
422,ENSG00000132768,ENSG00000213780
423,ENSG00000131495,ENSG00000103257
424,ENSG00000182117,ENSG00000132313
425,ENSG00000136718,ENSG00000132768
426,ENSG00000117174,ENSG00000115364
427,ENSG00000169230,ENSG00000170445
428,ENSG00000196531,ENSG00000164109
429,ENSG00000094804,ENSG00000149554
430,ENSG00000183684,ENSG00000087365
431,ENSG00000125107,ENSG00000107862
432,ENSG00000142534,ENSG00000164587
433,ENSG00000080986,ENSG00000100401
434,ENSG00000082898,ENSG00000044574
435,ENSG00000112029,ENSG00000149923
436,ENSG00000113460,ENSG00000115540
437,ENSG00000102786,ENSG00000063177
438,ENSG00000169045,ENSG00000109534
439,ENSG00000198056,ENSG00000112029
440,ENSG00000110713,ENSG00000140534
441,ENSG00000119285,ENSG00000154743
