,0,1
0,ENSG00000118197,ENSG00000166441
1,ENSG00000175110,ENSG00000100697
2,ENSG00000197958,ENSG00000198755
3,ENSG00000100603,ENSG00000135624
4,ENSG00000137692,ENSG00000149554
5,ENSG00000100353,ENSG00000100410
6,ENSG00000137876,ENSG00000122026
7,ENSG00000136807,ENSG00000129351
8,ENSG00000127184,ENSG00000161970
9,ENSG00000112592,ENSG00000167967
10,ENSG00000149084,ENSG00000101003
11,ENSG00000068654,ENSG00000113407
12,ENSG00000159147,ENSG00000156239
13,ENSG00000137200,ENSG00000130255
14,ENSG00000163528,ENSG00000099800
15,ENSG00000113460,ENSG00000161970
16,ENSG00000101158,ENSG00000073111
17,ENSG00000197102,ENSG00000163468
18,ENSG00000182117,ENSG00000184209
19,ENSG00000072501,ENSG00000197771
20,ENSG00000139168,ENSG00000166441
21,ENSG00000261236,ENSG00000115484
22,ENSG00000166226,ENSG00000113013
23,ENSG00000119523,ENSG00000261236
24,ENSG00000173113,ENSG00000102030
25,ENSG00000013503,ENSG00000087365
26,ENSG00000102030,ENSG00000136875
27,ENSG00000134419,ENSG00000161970
28,ENSG00000145592,ENSG00000130255
29,ENSG00000161920,ENSG00000090061
30,ENSG00000109534,ENSG00000088205
31,ENSG00000122026,ENSG00000113013
32,ENSG00000061794,ENSG00000164587
33,ENSG00000136807,ENSG00000137054
34,ENSG00000095139,ENSG00000174748
35,ENSG00000170445,ENSG00000110700
36,ENSG00000204560,ENSG00000137054
37,ENSG00000177084,ENSG00000146143
38,ENSG00000113013,ENSG00000111364
39,ENSG00000134697,ENSG00000136450
40,ENSG00000138750,ENSG00000174444
41,ENSG00000143368,ENSG00000113141
42,ENSG00000165271,ENSG00000125445
43,ENSG00000185163,ENSG00000106355
44,ENSG00000151247,ENSG00000213741
45,ENSG00000164163,ENSG00000112306
46,ENSG00000189091,ENSG00000099783
47,ENSG00000132676,ENSG00000156482
48,ENSG00000162910,ENSG00000013275
49,ENSG00000127337,ENSG00000133398
50,ENSG00000163682,ENSG00000140990
51,ENSG00000051596,ENSG00000011304
52,ENSG00000113407,ENSG00000174953
53,ENSG00000165271,ENSG00000168028
54,ENSG00000048162,ENSG00000138326
