,0,1
0,ENSG00000062822,ENSG00000111880
1,ENSG00000144231,ENSG00000156603
2,ENSG00000125691,ENSG00000134419
3,ENSG00000120158,ENSG00000165271
4,ENSG00000136807,ENSG00000137154
5,ENSG00000166441,ENSG00000138442
6,ENSG00000099783,ENSG00000149923
7,ENSG00000164338,ENSG00000110700
8,ENSG00000105372,ENSG00000231500
9,ENSG00000164880,ENSG00000102978
10,ENSG00000047315,ENSG00000175792
11,ENSG00000164134,ENSG00000122406
12,ENSG00000110700,ENSG00000167085
13,ENSG00000005007,ENSG00000185163
14,ENSG00000154719,ENSG00000096080
15,ENSG00000145833,ENSG00000196504
16,ENSG00000103423,ENSG00000166441
17,ENSG00000132383,ENSG00000094804
18,ENSG00000099783,ENSG00000188846
19,ENSG00000243147,ENSG00000125901
20,ENSG00000159352,ENSG00000091140
21,ENSG00000147403,ENSG00000181222
22,ENSG00000197756,ENSG00000265681
23,ENSG00000104884,ENSG00000180182
24,ENSG00000109971,ENSG00000168827
25,ENSG00000164134,ENSG00000161016
26,ENSG00000143624,ENSG00000104299
27,ENSG00000105372,ENSG00000167658
28,ENSG00000065518,ENSG00000184983
29,ENSG00000254772,ENSG00000125691
30,ENSG00000168028,ENSG00000044574
31,ENSG00000136527,ENSG00000136450
32,ENSG00000184209,ENSG00000174243
33,ENSG00000164134,ENSG00000100764
34,ENSG00000137154,ENSG00000231500
35,ENSG00000100028,ENSG00000181817
36,ENSG00000104897,ENSG00000005100
37,ENSG00000042429,ENSG00000161920
38,ENSG00000149273,ENSG00000163682
39,ENSG00000197170,ENSG00000149100
40,ENSG00000118197,ENSG00000151247
41,ENSG00000169375,ENSG00000189308
42,ENSG00000169045,ENSG00000188186
43,ENSG00000144867,ENSG00000108518
44,ENSG00000005100,ENSG00000174243
45,ENSG00000004897,ENSG00000134371
46,ENSG00000068654,ENSG00000163161
47,ENSG00000174444,ENSG00000174748
48,ENSG00000167085,ENSG00000103257
49,ENSG00000014138,ENSG00000035928
50,ENSG00000133997,ENSG00000112592
51,ENSG00000170322,ENSG00000160803
52,ENSG00000164587,ENSG00000171453
53,ENSG00000137154,ENSG00000167658
54,ENSG00000139350,ENSG00000101639
55,ENSG00000155438,ENSG00000089737
56,ENSG00000133119,ENSG00000142784
57,ENSG00000134419,ENSG00000119285
58,ENSG00000154719,ENSG00000266472
59,ENSG00000125691,ENSG00000044574
60,ENSG00000126461,ENSG00000162385
61,ENSG00000144713,ENSG00000164163
62,ENSG00000145592,ENSG00000231500
63,ENSG00000101868,ENSG00000146143
64,ENSG00000108424,ENSG00000030066
65,ENSG00000181222,ENSG00000204394
66,ENSG00000074071,ENSG00000132463
67,ENSG00000189091,ENSG00000135624
68,ENSG00000143977,ENSG00000143368
69,ENSG00000177954,ENSG00000147679
70,ENSG00000061794,ENSG00000197958
71,ENSG00000166197,ENSG00000105202
72,ENSG00000109606,ENSG00000173113
73,ENSG00000075624,ENSG00000147416
74,ENSG00000136718,ENSG00000065183
75,ENSG00000171453,ENSG00000143314
76,ENSG00000166197,ENSG00000109606
77,ENSG00000167721,ENSG00000173113
78,ENSG00000239306,ENSG00000180198
79,ENSG00000145592,ENSG00000167658
80,ENSG00000168090,ENSG00000138663
81,ENSG00000115053,ENSG00000122026
82,ENSG00000139726,ENSG00000177954
83,ENSG00000111880,ENSG00000144231
84,ENSG00000197958,ENSG00000174780
85,ENSG00000109475,ENSG00000041802
86,ENSG00000196235,ENSG00000144231
87,ENSG00000173418,ENSG00000122026
88,ENSG00000181222,ENSG00000143368
89,ENSG00000138663,ENSG00000139726
90,ENSG00000155438,ENSG00000233927
91,ENSG00000198034,ENSG00000166197
92,ENSG00000095139,ENSG00000107862
93,ENSG00000113141,ENSG00000106355
94,ENSG00000159140,ENSG00000113712
95,ENSG00000099995,ENSG00000100028
96,ENSG00000166441,ENSG00000095139
97,ENSG00000075624,ENSG00000196367
98,ENSG00000111639,ENSG00000147586
99,ENSG00000198042,ENSG00000063177
100,ENSG00000134419,ENSG00000171863
101,ENSG00000130985,ENSG00000120686
102,ENSG00000167088,ENSG00000132313
103,ENSG00000100764,ENSG00000149136
104,ENSG00000092199,ENSG00000143748
105,ENSG00000175467,ENSG00000134884
106,ENSG00000112306,ENSG00000168028
107,ENSG00000169727,ENSG00000168090
108,ENSG00000170312,ENSG00000117360
109,ENSG00000099783,ENSG00000144231
110,ENSG00000105372,ENSG00000170889
111,ENSG00000146007,ENSG00000112306
112,ENSG00000041802,ENSG00000134697
113,ENSG00000198034,ENSG00000161970
114,ENSG00000138326,ENSG00000174953
115,ENSG00000130255,ENSG00000011304
116,ENSG00000156482,ENSG00000188846
117,ENSG00000204316,ENSG00000008988
118,ENSG00000196504,ENSG00000134597
119,ENSG00000136527,ENSG00000101901
120,ENSG00000167088,ENSG00000144231
121,ENSG00000163682,ENSG00000204574
